Date;Peugeot;Renault;Volvo;BMW;Daimler;VW;Toyota;GM;Ford;Fiat Chrysler;Portfolio
5.22.2015;19.25;93.73;110.49;98.695;83.026;221.55;139.440002;33.998323;14.542194;10.428311;825.14983
5.21.2015;19.475;95.594;111.85;100.467;84.571;224.04;139.009995;33.463216;14.345298;10.349458;833.164967
5.20.2015;18.58;95.245;110.01;99.222;83.86;221.07;139.529999;33.558769;14.532818;10.250892;825.859478
5.19.2015;18.545;95.876;109.91;100.371;85.036;224.58;139.429993;33.491881;14.607826;10.165468;832.013168
5.18.2015;18.385;95.924;110.59;100.371;85.036;224.58;139.369995;33.358105;14.514065;10.152326;832.280491
5.15.2015;18.24;95.643;110.78;100.898;85.292;225.12;137.949997;33.109665;14.31717;10.060331;831.410163
5.14.2015;18.36;94.012;109.62;101.951;85.045;227.17;136.619995;33.252995;14.448434;9.882912;830.362336
5.13.2015;18.08;93.692;110.2;102.622;84.723;227.76;137.660004;33.195664;14.589074;9.725205;832.246947
5.12.2015;17.6;89.129;107.6;98.982;81.974;217.16;137.449997;33.654326;14.673458;9.843484;808.066265
5.11.2015;17.145;88.158;104.02;97.689;80.608;210.66;142.119995;33.749879;14.69221;9.942051;798.784135
5.8.2015;17.235;88.643;105.08;100.18;82.068;215.69;137.919998;33.32944;14.542194;9.744918;804.43255
5.7.2015;16.92;88.236;105.08;97.689;79.973;213.01;137.160004;33.224329;14.514065;9.416364;795.222762
5.6.2015;16.905;88.75;104.12;99.04;81.225;215.4;137.550003;33.453658;14.560946;9.659495;800.664102
5.5.2015;17.215;90.728;105.76;101.787;83.481;221.99;140.059998;33.826324;14.795346;9.725205;819.367873
5.4.2015;17.19;90.139;106.73;101.973;83.49;226.58;139.960007;33.845432;14.823475;9.626639;824.357553
5.1.2015;16.855;88.408;105.57;97.41;80.817;219.75;139.020004;33.501439;14.814098;9.692349;805.83789
4.30.2015;16.51;87.485;105.08;96.944;80.267;215.65;140.789993;33.931431;15.020371;10.099757;801.777552
4.29.2015;16.89;87.504;106.05;99.179;80.817;218.42;142.059998;34.132099;14.917234;10.691155;810.660486
4.28.2015;17.005;88.921;109.24;99.412;82.997;220.67;140.660004;34.189429;14.768619;10.862003;818.725055
4.27.2015;16.9;89.492;110.98;98.807;81.841;221.24;141.210007;34.007877;14.64787;10.638586;819.76434
4.24.2015;16.9;89.492;110.98;98.807;81.841;221.24;141.029999;34.323205;14.638581;10.566304;819.818089
4.23.2015;16.37;87.714;110.01;99.04;81.661;220.57;141.660004;35.508083;14.777908;10.704297;818.015292
4.22.2015;17.075;90.557;113.78;102.299;84.306;229.7;141.330002;35.508083;14.694311;10.691155;839.940551
4.21.2015;17.44;92.288;115.81;105.233;84.893;234.62;138.729996;35.460307;14.777908;10.526877;849.779088
4.20.2015;17.165;92.326;115.9;102.858;82.628;222.77;138.429993;35.011199;14.638581;10.645157;832.37193
4.17.2015;16.82;89.007;114.55;102.672;81.708;218.47;138.979996;35.431642;14.805773;10.704297;823.148708
4.16.2015;17.295;89.682;112.62;102.439;82.941;216.65;139.080002;35.297862;14.926522;10.835719;821.767105
4.15.2015;17.08;89.825;98.03;104.301;82.741;217.94;138.660004;34.858312;14.833639;10.737152;809.006107
4.14.2015;16.53;86.296;95.72;104.022;82.116;220.62;137.559998;34.78187;14.740754;10.802864;803.189486
4.13.2015;16.45;85.983;94.41;102.811;80.4;224.63;139.649994;34.944311;14.88937;10.829147;804.996822
4.10.2015;16.43;87.704;97.07;105.139;82.334;227.17;139.910004;34.67676;14.815061;10.973711;816.222536
4.9.2015;16.165;85.203;98.42;107.468;82.808;231.99;139.940002;34.504761;14.842926;10.901429;822.243118
4.8.2015;15.885;84.765;97.55;107.235;82.41;235.58;139.720001;34.141653;14.768619;10.750294;822.805567
4.7.2015;16.065;84.946;97.94;108.259;83.585;237.68;140.639999;35.03031;14.861504;10.980282;829.987095
4.6.2015;15.96;85.06;96.39;109.284;84.04;242.03;140.020004;34.877423;14.88937;10.967141;833.517938
4.2.2015;15.965;83.976;96.87;108.213;82.751;238.59;138.479996;35.106756;14.777908;10.750294;825.479954
4.1.2015;15.545;81.855;96.87;105.465;81.462;233.57;139.889999;35.832969;14.991541;10.717439;816.198948
3.31.2015;15.885;81.085;97.55;107.002;82.561;233.9;142.550003;36.004968;15.010118;10.875145;822.423234
3.30.2015;15.835;80.514;97.55;107.049;83.14;233.04;142.399994;35.651417;14.842926;10.789721;820.812058
3.27.2015;15.835;80.514;97.55;107.049;83.14;233.04;143.110001;35.689636;14.870792;10.566304;821.364733
3.26.2015;15.835;80.514;97.55;107.049;83.14;233.04;143.809998;35.718305;15.028696;10.72401;822.409009
3.25.2015;15.81;79.287;97.26;107.561;83.14;233.86;144.520004;36.167409;15.381656;10.881715;823.868784
3.24.2015;15.59;80.619;98.2;108.445;82.752;236.92;145.320007;36.874514;15.390944;10.691155;830.80262
3.23.2015;15.775;81.865;98.2;109.889;83.794;238.87;143.089996;37.142066;15.307348;10.763436;834.695846
3.20.2015;15.215;79.592;97.54;108.12;81.59;233.81;140.100006;36.931848;15.177311;10.684584;818.760749
3.19.2015;15.435;79.744;98.57;108.445;81.821;232.57;140.080002;36.788515;15.288771;10.684584;819.426872
3.18.2015;14.965;77.538;98.67;106.304;80.788;233.24;136.960007;36.587851;15.223752;10.789721;811.066331
3.17.2015;15.39;79.002;98.2;107.188;81.553;234.48;137.520004;36.86496;15.316637;10.986853;816.501454
3.16.2015;15.425;77.899;95.01;105.931;81.802;230.18;136.169998;36.358519;15.047273;10.78315;804.60594
3.13.2015;15.79;79.772;96.79;108.725;84.394;239.02;137.529999;36.721627;15.019407;10.434882;824.196915
3.12.2015;15.595;79.506;94.64;108.585;83.232;237.06;134;36.100521;14.629293;10.185181;813.532995
3.11.2015;15.16;79.012;93.13;107.933;82.918;233.71;133.690002;35.880746;14.601428;9.915766;805.950942
3.10.2015;15.59;82.616;91.92;112.683;84.578;241.31;135.389999;35.985856;14.88937;10.145754;825.107979
3.9.2015;16.575;85.593;92.38;114.173;88.341;243.94;134.889999;34.915645;14.796485;10.001191;835.60532
3.6.2015;16.17;84.67;91.12;111.705;85.86;236.82;134.899994;35.645424;14.963677;10.244321;822.098416
3.5.2015;16.825;85.174;91.45;110.401;85.445;230.75;135.520004;35.607513;14.88937;10.185181;816.247068
3.4.2015;16.775;85.735;91.73;111.146;84.91;231.56;135.399994;35.825498;15.019407;10.060331;818.16123
3.3.2015;16.205;82.407;90.74;105.884;81.802;221.1;135.869995;35.645424;15.390944;10.402027;795.44639
3.2.2015;16.245;82.692;91.45;106.49;83.13;221.96;135.369995;35.361095;15.177311;10.126041;798.001442
2.27.2015;16.125;81.684;91.77;107.375;82.927;219.71;136.800003;35.598037;15.214464;10.165468;797.368972
2.26.2015;15.61;80.562;92.67;106.629;82.217;215.69;136.869995;35.882365;15.335214;9.981477;791.447051
2.25.2015;15.175;80.781;91.4;105.233;81.148;214.31;138.339996;35.77811;15.195888;10.191752;787.552746
2.24.2015;14.595;79.021;90.84;103.37;78.943;211.82;136.979996;35.721243;15.214464;10.224608;776.729311
2.23.2015;14.82;81.161;93.13;106.35;79.93;216.99;136.899994;35.683335;15.233041;10.185181;790.382551
2.20.2015;14.965;81.646;94.73;105.233;79.783;215.55;135.279999;35.550645;15.260907;9.922338;787.920889
2.19.2015;14.91;80.162;93.7;104.301;78.897;214.98;134.160004;35.247361;15.05656;9.659495;781.07342
2.18.2015;14.365;78.65;93.28;102.113;78.409;213.16;132.080002;35.294752;14.963677;9.488646;771.804077
2.17.2015;14.675;80.781;93.65;103.044;78.593;216.12;132.490005;35.6549;15.140156;9.547786;779.695847
2.13.2015;14.575;80.866;93.98;103.975;78.362;218.56;131.820007;36.034007;15.195888;9.50836;782.876262
2.12.2015;14.23;80.98;93.28;103.463;78.187;215.07;131.020004;35.702288;15.093715;9.048384;776.074391
2.11.2015;14.23;80.229;92.81;101.927;77.542;213.3;130.850006;35.560125;14.9451;9.081239;770.47447
2.10.2015;14.4;79.04;91.96;101.275;77.127;207.57;129.160004;34.119523;14.787196;8.746114;758.184837
2.9.2015;13.495;77.052;90.37;99.412;76.029;202.98;129.570007;34.119523;14.731465;8.936675;746.69567
2.6.2015;13.75;76.082;90.79;99.273;76.389;204.42;131.740005;34.356464;14.722177;9.245515;750.768161
2.5.2015;13.83;75.464;89.34;100.39;76.721;203.27;132.679993;33.958404;14.740754;9.173234;749.567385
2.4.2015;13.765;73.42;89.01;99.366;76.675;204.99;131.100006;32.205038;14.536408;9.166663;744.234115
2.3.2015;13.395;65.821;86.43;97.27;76.029;200.97;131.089996;31.380484;14.183448;8.870965;725.439893
2.2.2015;13.29;65.65;88.16;97.503;75.771;199.87;128.850006;30.916077;13.663295;8.680402;722.35378
1.30.2015;12.865;64.889;88.96;95.454;74.369;198.35;132.149994;31.427871;13.793333;8.759256;721.017454
1.29.2015;13.305;67.666;89.85;99.505;75.946;204.8;130.949997;31.124587;13.431084;8.48327;735.060938
1.28.2015;13.36;67.637;90.6;99.319;76.343;203.32;131.100006;31.674288;13.654006;8.673832;735.681132
1.27.2015;13.44;66.895;93.28;99.319;76.204;200.54;131.860001;31.939665;13.865482;8.903819;736.246967
1.26.2015;13.08;66.724;93.51;98.993;75.762;197.96;129.660004;31.987052;13.709173;8.476699;729.861928
1.23.2015;12.69;65.146;91.45;97.084;74.895;193.33;129.860001;32.053396;13.819509;8.351849;718.679755
1.22.2015;12.855;64.87;91.4;96.292;74.222;189.55;128.660004;32.119739;13.764341;8.12186;711.854944
1.21.2015;12.915;66.363;91.31;95.873;74.046;195.14;129.160004;32.15765;13.80112;8.174429;718.940203
1.20.2015;12.855;66.049;91.45;96.013;73.696;195.19;128.880005;31.920709;13.810315;7.951012;717.815041
1.16.2015;12.685;64.813;88.49;94.989;72.515;193.04;126.779999;31.683768;13.6632;7.760451;706.419418
1.15.2015;12.595;65.555;91.26;98.015;74.747;196.19;125.82;32.508322;13.893065;7.924728;718.508115
1.14.2015;12.335;65.602;90.74;95.734;73.465;194.81;126.410004;33.408699;13.985012;7.957583;714.447298
1.13.2015;12.09;64.214;90.65;91.301;71.261;189.36;126.040001;33.96788;13.994207;7.918157;700.796245
